id,kind,outcome,outcome_label,corrected,correction_note,section,area,goal,comparison,why,result,reason,scope,batches,sources,original_question,register_page,mapping_rule,master_table_line
MT141,research,success,Goal met,,,9,Mechanism and isolation,Locate the best two-group cut,Thirteen cut and anchor arms at 100 epochs,Localize the useful partition boundary,Unique sampled peak k=49 reaches 55.4473%; the parameter-balance prediction survives.,"Cut localization succeeds, but carrier and parameter-balance accounts coincide.","cpk1, 39 runs, CIFAR-100/ResNet18_c100, 100 ep","[""cpk1""]","[""repository/docs/MASTER-TABLE.md:141"", ""repository/docs/CORRECTIONS.md [CORRECTIONS 146; rescoped 156.1; overclaim corrected 160]"", ""repository/analysis/cK1_cpk1_score.py""]",Where does the cut have to fall for an m=2 partition to capture the gap?,47,register,
MT142,research,success,Goal met,,,9,Mechanism and isolation,Identify the tensor carrying the first cliff,"Adjacent cuts k49, k50, k51, k52 with scalar/layerwise anchors",Separate tensor identity from transferred parameter mass,Moving BN scale 50 into the coarse group lowers accuracy by 24.8340 pp.,A 512-parameter scale dominates the local 100-epoch cliff.,"cts1, 18 runs, 100 ep, ONE batch","[""cts1""]","[""repository/docs/MASTER-TABLE.md:142"", ""repository/docs/CORRECTIONS.md [CORRECTIONS 147, rescoped 156.1]"", ""repository/analysis/cL1_cts1_score.py""]",Which single tensor carries the k=49 -> k=50 cliff?,47,register,
MT143,research,fail,Goal missed,,,9,Mechanism and isolation,Explain the cliff through dependence on beta clamp,Clamped and released boxes crossed with cuts k49 and k50,Challenge clamp dependence directly,Released cliff 24.7673 pp; clamped cliff 25.1627 pp; interaction unresolved.,The cliff survives release; clamp dependence is refuted.,"cts2, 12 runs, 100 ep","[""cts2""]","[""repository/docs/MASTER-TABLE.md:143"", ""repository/docs/CORRECTIONS.md [CORRECTIONS 150, rescoped 156.1]"", ""repository/analysis/cM1_cts2_score.py""]",Is the cliff an artefact of the BETA_CLIP clamp?,47,register,
MT144,research,unresolved,Open,,,9,Mechanism and isolation,Resolve scalar clamp dependence using existing runs,Released scalar contrasts versus canonical contrasts across archived batches,Audit the purported clamp controls,The old ub9/tc1 audits remain unresolved or void on occupancy. Later within-batch cfr1/cfr2 floor-release controls partially settle the intended scalar/layerwise issue: headline 1e-4 and 1e-3 endpoints are discharged; the 3e-4 middle rung remains constrained.,Middle rung remains constrained; blockwise remains unaudited.,"cN1/cN2, ZERO GPU, 0 rows ingested (corpus unchanged at 2,501)","[""tc1"", ""ub9"", ""PP"", ""pp"", ""I1"", ""a0"", ""cfr1"", ""cfr2""]","[""repository/docs/MASTER-TABLE.md:144"", ""repository/docs/CORRECTIONS.md [CORRECTIONS 149]"", ""repository/analysis/cN1_box_row24_score.py"", ""repository/analysis/cN2_box_row24_score.py"", ""repository/analysis/cO1_cfr1_score.py"", ""repository/analysis/cO2_cfr2_score.py""]",Do the corpus's two box-released scalar-containing cells rescue MASTER-TABLE row 24?,48,register,
MT145,research,success,Goal met,,,9,Mechanism and isolation,Identify the tensor carrying the second cliff,Adjacent cuts k52 through k55,Test a second local single-tensor attribution,Moving shortcut BN scale 53 lowers accuracy by 15.8080 pp at 100 epochs.,One 512-parameter scale carries the second measured cliff.,"scl1, 12 runs, 100 ep","[""scl1""]","[""repository/docs/MASTER-TABLE.md:145"", ""repository/docs/CORRECTIONS.md [CORRECTIONS 152, rescoped 156.1]"", ""repository/analysis/cP1_scl1_score.py""]",Does the SECOND cliff have the same single-tensor structure?,48,register,
MT146,research,success,Goal met,,,9,Mechanism and isolation,Test cliff persistence beyond 100 epochs,Cuts k49 and k50 within the same runs at 100/772 epochs,Separate stopping-time effects from persistent differences,"Cliff persists at 19.3427 pp and shrinks by 5.6747 pp, as predicted.",Persistence and predicted shrinkage both pass their registered bars.,"cts3, 6 runs, 772 ep — 7.72x the horizon of every other ResNet18_c100 run in the corpus","[""cts3""]","[""repository/docs/MASTER-TABLE.md:146"", ""repository/docs/CORRECTIONS.md [CORRECTIONS 156]"", ""repository/analysis/cO1_cts3_score.py""]","Is the cliff a property of the partition, or of stopping the clock at 100 epochs?",48,register,
MT147,research,mixed,Mixed,,,9,Mechanism and isolation,Preserve peak and predict longer-horizon ranks,Five sampled cuts at 100/772 epochs on fresh seeds,Test horizon and seed replication,Peak remains k49; none of three forecast rank swaps occurs.,Location prediction succeeds; its curve model fails.,"cpk2, 18 runs, 772 ep","[""cpk2""]","[""repository/docs/MASTER-TABLE.md:147"", ""repository/docs/CORRECTIONS.md [CORRECTIONS 158]"", ""repository/analysis/cR1_cpk2_score.py""]",Does the argmax k*=49 move at a converged budget on fresh seeds?,48,register,
MT148,research,fail,Goal missed,,,9,Mechanism and isolation,Explain long-horizon curves by changing only rate,Windowed k50/k52 approaches against an exponential shape null,Test whether one timescale explains both curves,k52 differs in shape; the decisive rho(0.90) separation is 1.79 registered bars.,"The exponential shape account fails for k52, not k50.","cS1, ZERO GPU, nothing submitted or ingested","[""cpk2"", ""cts3""]","[""repository/docs/MASTER-TABLE.md:148"", ""repository/docs/CORRECTIONS.md [CORRECTIONS 159]"", ""repository/analysis/cS1_ratelaw_shape.py""]",Is the k50/k52 rate-law break a difference in RATE or in KIND?,49,register,
MT149,research,fail,Goal missed,,,9,Mechanism and isolation,Explain headline gap through an alpha0 confound,Matched scalar/block/layerwise contrasts at two initial stepsizes within batches,Check the headline contrast under matched controls,Ordering persists; the alleged 24.6 pp swing does not reproduce in matched batches.,A smaller blockwise interaction exists; the alleged confound magnitude fails.,"cU1, ZERO GPU, corpus unchanged at 2,573","[""c100"", ""c100b"", ""c1b""]","[""repository/docs/MASTER-TABLE.md:149"", ""repository/docs/CORRECTIONS.md [CORRECTIONS 160]"", ""repository/analysis/cU1_alpha0_granularity_score.py""]",Is the headline CIFAR-100 granularity contrast confounded by alpha0?,49,register,
MT150,research,mixed,Mixed,,,9,Mechanism and isolation,Localize peak and resolve tensor-class effects,Cuts k45 through k50 at 772 epochs on fresh seeds,Replace multi-tensor jumps with adjacent contrasts,Peak remains k49; observed class signs are perfectly aliased with index modulo three.,Localization succeeds; tensor-class mechanism remains unidentifiable.,"cpk3, 21 runs, 772 ep","[""cpk3""]","[""repository/docs/MASTER-TABLE.md:150"", ""repository/docs/CORRECTIONS.md [CORRECTIONS 161]"", ""repository/analysis/cS2_cpk3_score.py""]","What happens across FIVE CONSECUTIVE single-tensor steps, measured in one batch?",49,register,
MT151,research,fail,Goal missed,,,9,Mechanism and isolation,Locate the ImageNet transition using group count,Six balanced counts plus a second eight-group partition,Test count sufficiency and transition shape,"Transition is distributed; at eight groups, capture changes from 0.0080 to 0.1497.",Identical group counts yield different captures; no registered cliff fires.,"in489g2, 14 runs, ImageNet-489","[""in489g2""]","[""repository/docs/MASTER-TABLE.md:151"", ""repository/docs/CORRECTIONS.md [CORRECTIONS 163]"", ""repository/analysis/cI2_in489g2_score.py""]",Is the ImageNet-489 transition located by GROUP COUNT?,49,register,
MT152,research,unresolved,Open,,,9,Mechanism and isolation,Separate tensor identity from ordinal position,Named-set permutations and tensor swaps versus equivalent prefix controls,Break the class and ordinal-position alias,"CLASS-OPERATIVE is unreachable; data refute single-tensor additivity, leaving identity versus order unresolved.",A defective registered branch cannot support the intended mechanism.,"cpr1, 15 runs, 100 ep","[""cpr1""]","[""repository/docs/MASTER-TABLE.md:152"", ""repository/docs/CORRECTIONS.md [CORRECTIONS 164]"", ""repository/analysis/cV1_cpr1_score.py""]","Is the operative thing the tensor's IDENTITY, or its position in the name list?",50,register,
MT153,research,mixed,Mixed,,,9,Mechanism and isolation,Separate contiguity effects from coarse parameter mass,"Co-grouping, holes, and an exact 3,956,288-parameter mass match",Test explanations surviving the permutation experiment,Coarse mass fails; the contiguity token remains confounded with tensor membership.,Mass is refuted; contiguity and a membership rival remain inseparable.,"cpg1, 15 runs, 100 ep","[""cpg1"", ""cpr1""]","[""repository/docs/MASTER-TABLE.md:153"", ""repository/docs/CORRECTIONS.md [CORRECTIONS 166, superseding 164.5]"", ""repository/analysis/cW1_cpg1_score.py""]","Is CONTIGUITY of the group operative, or is it coarse MASS?",50,register,
MT154,research,fail,Goal missed,Corrected,conv2 privilege fails; the rival account needs renaming and its substantive ambiguity remains.,9,Mechanism and isolation,Check the claimed privilege of conv2 tensors,Re-examine the existing tensor-membership rival,Correct the rival account precisely,"conv2 privilege fails; the rival requires renaming, while its substantive ambiguity remains.",A naming error does not eliminate the competing account.,"CONV2 check, ZERO GPU, nothing scored or ingested; corpus 2,638","[""cpr1"", ""cpg1""]","[""repository/docs/MASTER-TABLE.md:154"", ""repository/docs/CORRECTIONS.md [CORRECTIONS 170]""]","Is conv2 privileged, as 166.7's rival account claimed?",50,approved-correction-split,
MT155,research,fail,Goal missed,,,9,Mechanism and isolation,Beat a tuned non-meta CIFAR-100 baseline,MetaOptimize versus six SGD learning rates and a 200-epoch control,Measure improvement against a tuned denominator,Best SGD exceeds MetaOptimize by 5.6993 pp; 200-epoch SGD reaches 78.8280%.,Every tested SGD rung beats the tested MetaOptimize arm.,"cdn1, 24 runs, CIFAR-100/ResNet18_c100, 100 ep (plus 200 ep), ONE batch so every contrast is WITHIN batch","[""cdn1""]","[""repository/docs/MASTER-TABLE.md:155"", ""repository/docs/CORRECTIONS.md [CORRECTIONS 171 (hand), 175 (`cdn2`); `analysis/cdn1_denominator_score.py` frozen, `analysis/cdn2_denominator_score.py` registered]"", ""repository/analysis/cdn1_denominator_score.py"", ""repository/analysis/cdn2_denominator_score.py""]","Is there a tuned non-meta baseline on CIFAR-100 at all, and does MetaOptimize clear it?",50,register,
MT156,research,mixed,Mixed,,,9,Mechanism and isolation,Explain cliff amplification through reduction composition,Raw tensor sums versus per-tensor numel normalization at three cuts,Perturb term weighting without changing group membership,One clean pair establishes composition sensitivity; amplified cliff also contains one-sided learning failure.,Only k49 avoids the failed-arm floor in both reductions.,"crn1, 18 runs, moved off alice2 and re-submitted on alice with all 18 originals cancelled at 0 started, 0 rows","[""crn1""]","[""repository/docs/MASTER-TABLE.md:156"", ""repository/docs/CORRECTIONS.md [CORRECTIONS 169, 172, 173]"", ""repository/analysis/cX1_crn1_score.py""]",Does the REDUCTION itself — how per-tensor terms are composed into a group's update — carry the effect?,51,register,
MT157,research,mixed,Mixed,,,9,Mechanism and isolation,Retain granularity benefits after independent stepsize tuning,Scalar/layerwise meta-stepsize ladders at two initial stepsizes,Remove shared-meta-stepsize tuning unfairness,"At alpha0=1e-3, gap remains 35.2907 pp; alpha0=1e-6 optimum lies at ladder edge.",One stratum survives tuning; the other is unresolved.,"cru1, 60 runs, CIFAR-100/ResNet18_c100, 100 ep","[""cru1""]","[""repository/docs/MASTER-TABLE.md:157"", ""repository/docs/CORRECTIONS.md [CORRECTIONS 168, 174; superseded in part 177, 180]"", ""repository/analysis/cY1_cru1_score.py""]","RULE 11 — does the granularity gap survive giving EACH arm its own tuned meta-stepsize, on the headline CIFAR-100 cell?",51,register,
MT158,method-check,,Method check (no research outcome),Corrected,Method check: the census of the CIFAR-100 ms=1e-4 stratum was stale.,9,Mechanism and isolation,Verify coverage of the low-meta-stepsize stratum,Corpus census against the prior prose inventory,Repair claims invalidated by additional ingested controls,"The stratum contained 35 rows, two alpha0 levels, and scalar/layerwise controls.",Earlier counts and the claimed alpha0 alias were stale.,"cms1, ZERO GPU, corpus unchanged at 2,740","[""cms1"", ""cru1"", ""cdn1""]","[""repository/docs/MASTER-TABLE.md:158"", ""repository/docs/CORRECTIONS.md [CORRECTIONS 176]"", ""repository/analysis/cms1_ms1e4_stratum_census.py""]",Is the CIFAR-100 ms=1e-4 stratum what the prose said it was?,51,approved-correction-split,
MT159,research,fail,Goal missed,,,9,Mechanism and isolation,Explain capture peak through between-group sign disagreement,Reconstructed window disagreement versus the registered cut-position curve,Connect update dynamics with useful cut positions,Disagreement peaks elsewhere; correlation with capture is -0.0455.,The disagreement maximum does not align with the accuracy peak.,"ZERO GPU, from probe traces on disk; nothing submitted or ingested","[""cru1"", ""cpk1"", ""cts2""]","[""repository/docs/MASTER-TABLE.md:159"", ""repository/docs/CORRECTIONS.md [CORRECTIONS 179]"", ""repository/analysis/cHD1_hdisagree_score.py""]","H-DISAGREE (the fifteenth mechanism, and the first DYNAMICS candidate) — do the two groups of an m=2 partition disagree most where capture peaks?",51,register,
MT160,research,unresolved,Open,,,9,Mechanism and isolation,Test element-count majority as the scalar sign driver,Proposed element fraction versus the actual scalar probe schema,Check whether the intended statistic exists,Scalar frac_neg describes one aggregate; no element-count statistic exists in the archived probes.,The proposed measure is tautological and cannot test element majority.,"ZERO GPU, registered then found unrunnable on the record","[""cHE1"", ""cru1""]","[""repository/docs/MASTER-TABLE.md:160"", ""repository/docs/CORRECTIONS.md [CORRECTIONS 181, 183]"", ""repository/analysis/cHE1_hdominate_element_score.py""]",H-DOMINATE (E) — is the scalar arm's sign set by an ELEMENT-COUNT majority?,52,register,
MT161,research,fail,Goal missed,,,9,Mechanism and isolation,Find convolution or head terms driving scalar pinning,Per-tensor Lion terms along scalar and layerwise trajectories,Identify which tensor terms set the update sign,"Three BN scales, not the named convolutions/head, carry every pinned scalar vote.",The named hypothesis is refuted; a different carrier set is identified.,"ctd1, 6 runs, 100 ep","[""ctd1""]","[""repository/docs/MASTER-TABLE.md:161"", ""repository/docs/CORRECTIONS.md [CORRECTIONS 182, 184, 186]"", ""repository/analysis/cTD1_tensor_dominate_score.py"", ""repository/analysis/cTD2_tensor_dominate_score.py""]","H-DOMINATE (T) — at the TENSOR level, which tensors carry the scalar meta-gradient's sign?",52,register,
MT162,research,mixed,Mixed,,,9,Mechanism and isolation,Rescue learning and free the shared complement,"Three-carrier isolation, depth-confounded control, one-carrier isolation, and anchors",Intervene on the dynamics-based carrier nomination,ISO rescues 46.9307 pp; registered result stays UNRESOLVED-PARTIAL because complement freedom fails.,"Accuracy rescues, while the full registered dynamics conjunction fails.","ciso1, 15 runs, 100 ep, ONE batch; ingest 2,746 -> 2,761 (added 15, changed 0, removed 0), 12.82 GPU-h","[""ciso1""]","[""repository/docs/MASTER-TABLE.md:162"", ""repository/docs/CORRECTIONS.md [CORRECTIONS 185, 187]"", ""repository/analysis/cIS1_ciso1_isolate_score.py""]",H-ISOLATE — does lifting the three carrier tensors out of the shared step-size group CAUSE the rescue?,52,register,
MT163,research,success,Goal met,,,9,Mechanism and isolation,Separate carrier isolation from matched depth controls,"Carrier triple versus matched non-carriers, scale-only pair, singleton, and anchors",Test whether matched depth alone suffices,Carrier isolation beats the matched triple by 46.5233 pp; magnitude remains confounded.,Matched non-carriers fail to rescue under the registered identity test.,"cdep1, 18 runs, 100 ep, CIFAR-100/ResNet18_c100, ONE batch, FRESH seeds {24,25,26}; ingest 2,761 → 2,779 (added 18, changed 0, removed 0); 16.05 GPU-h, re-summed here over its own 18 wallclock_min values (minute-rounded, so marginally below sacct) Amended at CORRECTIONS 229: Outcome unchanged (IDENTITY-OPERATIVE holds). 'ResNet-only' is rescoped to this batch's DEPTH control: the nominated set rescuing where a matched non-carrier set does not has since been measured on VGG (cvi1), GroupNorm (cgn2) and PlainNet (cpl2). The tensor list does not transfer, and identity vs magnitude is still not separated on any network.","[""cdep1""]","[""repository/docs/MASTER-TABLE.md:163"", ""repository/docs/CORRECTIONS.md [CORRECTIONS 193; scope bound registered at 188.3; cross-batch reading at 195.6]"", ""repository/analysis/cDP1_cdep1_depth_score.py"", ""docs/CORRECTIONS.md [CORRECTIONS 229]""]","H-ISOLATE's IDENTITY leg — is the rescue caused by THOSE THREE TENSORS, or by any three matched layer4 512-parameter BatchNorm parameters at that depth?",52,register,
MT164,research,success,Goal met,,,9,Mechanism and isolation,Replicate the granularity gap outside ResNet,Scalar versus layerwise on VGG11 with BatchNorm,Test architecture-family scope of the gap,VGG layerwise exceeds scalar by 31.2687 pp; later cvi1 tests isolation.,The gap replicates on a second architecture family.,"cvg1, 6 runs, 100 ep, CIFAR-100, seeds {31,32,33}, ONE batch; ingest 2,779 → 2,785 (added 6, changed 0, removed 0); 4.27 GPU-h, re-summed here over its own 6 wallclock_min values Amended at CORRECTIONS 229: Outcome unchanged (GAP-REPLICATES). 'No isolation arm has run on VGG' and 'bn8.weight is a hypothesis' are overtaken: cvi1 isolated bn8.weight against its twin (+31.3033 pp) and cvh1 held the rescue to 328 epochs. The gap and the isolation stay separate claims for the tensor list and for identity vs magnitude.","[""cvg1""]","[""repository/docs/MASTER-TABLE.md:164"", ""repository/docs/CORRECTIONS.md [CORRECTIONS 194, 195.8; carrier nomination re-derived at 197]"", ""repository/analysis/cVG1_vggbn_gap_score.py"", ""docs/CORRECTIONS.md [CORRECTIONS 229]""]","Does the scalar→layerwise plateau5 gap — the gap the whole granularity programme is about — exist AT ALL off ResNet, on a plain BatchNorm conv stack with no residual addition?",53,register,
MT165,research,unresolved,Open,,,9,Mechanism and isolation,Retain rescue after the complement meets pinning gate,Same-run isolation and anchor plateaus at 100/250 epochs,Test delay-to-collapse with the registered pinning condition,"Rescue retention is 0.997737; exact-clamp occupancy fails, so the registered verdict remains unresolved.","Accuracy persists, but the scorer stops before its primary retention branch.","ciso2, 12 runs, 250 ep (the corpus's FIRST 250-epoch rows), CIFAR-100/ResNet18_c100, ONE batch, FRESH seeds {31,32,33}; ingest 2,785 -> 2,797 (added 12, changed 0, removed 0); 21.65 GPU-h, re-summed here over its own 12 wallclock_min values","[""ciso2""]","[""repository/docs/MASTER-TABLE.md:165"", ""repository/docs/CORRECTIONS.md [CORRECTIONS 190 (registration), 196 (landing), 199 (reconciliation, gate defect re-derived independently)]"", ""repository/analysis/cIS2_ciso2_horizon_score.py""]","H-ISOLATE's HORIZON leg — does the rescue survive to a horizon at which the isolated 59-group has had time to pin, or is +46.93 pp merely a DELAY of the scalar collapse?",53,register,
MT166,research,success,Goal met,,,9,Mechanism and isolation,Replicate carrier-specific isolation on VGG,bn8 isolation versus its matched bn7 control and anchors,Test a prospective nomination on a second architecture,ISO beats matched CTL by 31.3033 pp; identity-versus-magnitude and later horizons remain open.,The nominated carrier rescues; its matched control stays at the floor.,"cvi1, 12 runs, 100 ep, CIFAR-100, ONE batch, FRESH seeds {41,42,43}; ingest 2,797 → 2,809 (added 12, changed 0, removed 0); 6.65 GPU-h re-summed over its own 12 wallclock_min values (sacct 6.80)","[""cvi1""]","[""repository/docs/MASTER-TABLE.md:166"", ""repository/docs/CORRECTIONS.md [CORRECTIONS 198 (registration), 200 (launch), 203 (landing)]"", ""repository/analysis/cVI1_vggiso_identity_score.py""]","H-ISOLATE OFF ResNet — does isolating the ONE tensor that cvg1's records nominate (bn8.weight) rescue the scalar collapse on VGG, and does its exact twin (bn7.weight) NOT?",53,register,
CVK2,research,unresolved,Open,,,9,Mechanism and isolation,Test the predicted VGG cut location,Seven cuts plus scalar and layerwise controls,Separate carrier-boundary prediction from rival explanations,"Cuts 16, 19, 22 share the peak set; prediction unresolved.",The registered separation bar leaves cut 22 tied with rivals.,"VGG11_bn/CIFAR-100, augmented, 100 epochs, shared meta-step 1e-3; nine arms × three fresh seeds 55–57; one submission. Every sweep arm has exactly two contiguous tensor groups.","[""cvk1""]","[""CORRECTIONS208"", ""analysis/cVK2_vggcut_score.py""]",Does the VGG cut ladder peak immediately before bn8.weight at k=22?,53,register,
MT175,research,success,Goal met,,,10,Count-matched partition audit,"POST-HOC SYNTHESIS — the audit's headline. At a fixed group count, does the uniform partition beat the architecture-aligned one in every count-matched cell, and by how much?","uniform chunk<K> minus architecture-aligned nodewise, count-matched (R18 14,421 v 14,420; R34 25,562 v 25,556; C100 14,595 v 14,600), ONE batch per cell; across cells: network (R18 / R34 / R50), dataset (C10 / C100), base (SGDm / SGD / RMSProp / AdamW), meta (Lion; RMSProp in sm4 only), ms (1e-4 / 3e-4), budget (100 / 300 ep), three boxes",Count-matched partition audit (MASTER-TABLE section 10): does the partition matter once the group count is held fixed?,"D > 0 in 20 of 20 cells; t ≥ 3.0 in 18 (the two below are ml2 t 2.34 and sm3 t 2.22); D runs from +0.141 (sm3) to +1.640 (gc1). Eight SGDm cells (cc1, mm1, pp1, gn1-BN, rl3 ×2, fa1, hz3): fixed-effect pool +0.5556 ± 0.0448, Q 4.21 on 7 df, τ 0. Fourteen byte-identical-contrast cells: +0.5297 ± 0.0294, Q 102.47 on 13 df, τ 0.2948. TRAIN agrees in sign in 20 of 20. The simulation-calibrated 95 % half-width ±0.121 and the SGDm null median 9.4 are NOT re-derived by the independent parser; analysis/c98_reproduce.py, run unedited, reproduces both (PASS), although that audit exits 1 on ten stale corpus-count checks.","Verdict: ""wins all twenty count-matched cells"" (MAIN-IDEA-REPORT §5 and the paper's abstract; a pool no scorer registered a bar for, paper §3.4) Goal met: Registered headline claim: uniform beats aligned in 20 of 20 count-matched cells. A synthesis; runs link on the per-batch rows.","the 20 cells of the paper's Table 2 (analysis/c98_figures.py CELLS, the gn1-GroupNorm cell excluded): 18 batches, 154 runs, n 3 v 3 to 9 v 9. The partition matters at fixed count, by about 0.6 pp — small next to the method's own deficit against tuned SGD: −1.807 pp as published and −1.796 as c98_reproduce.py now derives it on CIFAR-10, −5.699 pp on CIFAR-100 (cdn1), outside the ""1.8–4.2 pp"" MAIN-IDEA-REPORT quotes. Six of the twenty cells come from the five batches with no scorer registered before their runs (ml2, nl1 ×2, r50, gm2, sm3), and two of those (ml2, sm3) were VOID on their registered meta axis and enter as Lion replicates. The effect is heterogeneous across base optimisers (the moderator row).",[],"[{""path"": ""docs/MASTER-TABLE.md"", ""line"": 175}, ""CORRECTIONS 124.2, 126.1–126.2, 128.1"", ""`analysis/cT211_partition_audit_rederive.py`""]","POST-HOC SYNTHESIS — the audit's headline. At a fixed group count, does the uniform partition beat the architecture-aligned one in every count-matched cell, and by how much?",,met,175
MT176,research,success,Goal met,,,10,Count-matched partition audit,Is the weightwise accuracy deficit at its own tuned meta-stepsize a box (clamp) artefact — and where does the fully tuned granularity ladder peak?,"granularity {layerwise, nodewise, weightwise} with the probe on, at wm9's argmax ms 1e-4, box -15:-2.3026",Count-matched partition audit (MASTER-TABLE section 10): does the partition matter once the group count is held fixed?,"plateau5 layerwise 92.939, nodewise 91.961, weightwise 91.234 (n=3 each). T1: weightwise box-free on 3/3 seeds, and every arm 0.0000 on all four occupancy columns (quoted, 104.2). With the 13-axis census the tuned ladder reads frozen 90.384 → scalar 92.262 → blk6 92.652 → layerwise 92.887 → nodewise 92.450 → weightwise 91.146, an interior optimum at layerwise (quoted, 104.4). T4: N_eff/m 0.7458 / 0.0549 / 0.0157, argmin weightwise at gap/SE 22.75 (quoted).",Verdict: T1 CONFIRMS + T4 DECIDED Goal met: T1 CONFIRMS and T4 DECIDED: the weightwise deficit is not a clamp artefact.,"tw0, 9 runs, R18/C10, SGDm+Lion, 100 ep, seeds 0–2. The weightwise deficit is not a clamp artefact and ceiling-runaway is ruled out as its mechanism, which leaves it unexplained. The gate was easy — every arm passed at the maximum margin, which the record says against itself (104.2). Its nodewise arm is the cross-batch anchor ck1 and mm1 were first read against.","[""tw0""]","[{""path"": ""docs/MASTER-TABLE.md"", ""line"": 176}, ""CORRECTIONS 104.1–104.5"", ""FINDINGS 74.1–74.4"", ""`analysis/c75_tw0_score.py`""]",Is the weightwise accuracy deficit at its own tuned meta-stepsize a box (clamp) artefact — and where does the fully tuned granularity ladder peak?,,met,176
MT177,research,success,Goal met,,,10,Count-matched partition audit,Out-of-sample prediction A2: is sign agreement a_raw monotone DECREASING in group count m across the tuned ladder?,"the two rungs tw0 left unprobed or off their argmax: blk6 (resnet18_blocks) at ms 1e-4 and nodewise at ms 3e-4, probe on",Count-matched partition audit (MASTER-TABLE section 10): does the partition matter once the group count is held fixed?,"A1 accuracy reproduction: blk6 92.449 against its registered 92.652 (−0.203), nodewise@3e-4 92.564 against 92.450 (+0.114), both inside ±0.50. A2: blk6 a_raw 0.70432 > layerwise 0.65693; nodewise@3e-4 0.53368, strictly inside (0.50117, 0.65693) (quoted, 105.5). A0.3: nodewise@3e-4 BOUND at the lower guard on 3/3 seeds, rec_lo ≈ 0.455 (quoted).",Verdict: A1 REPRODUCES + A2 CONFIRMS Goal met: A1 REPRODUCES and A2 CONFIRMS the out-of-sample sign-agreement prediction.,"at1, 6 runs, R18/C10, 100 ep, seeds 0–2 (seeds that already existed: report distinct seeds, not independent draws, 104.7). A field result — and the field was later shown not to predict accuracy (cc1 C1 below). A2's nodewise point sits in a box-BOUND cell; a free cell at the same m agrees on a_raw to 0.005, which is carried with the result rather than used to excuse it.","[""at1""]","[{""path"": ""docs/MASTER-TABLE.md"", ""line"": 177}, ""CORRECTIONS 104.7, 105.5"", ""FINDINGS 74.7, 75.5"", ""`analysis/c75_at1_score.py`""]",Out-of-sample prediction A2: is sign agreement a_raw monotone DECREASING in group count m across the tuned ladder?,,met,177
MT178,research,mixed,Mixed,,,10,Count-matched partition audit,"At (nearly) fixed group count, does the PARTITION matter — is granularity one variable (m) or two (count, partition)?","contiguous flat chunks chunk1024 (m 10,944) vs output-channel nodewise (m 14,420) at the same ms; anchor chunk1 ≡ weightwise",Count-matched partition audit (MASTER-TABLE section 10): does the partition matter once the group count is held fixed?,"chunk1024 92.526 vs tw0 nodewise 91.961: +0.565 pp, se 0.089, t 6.38 (cross-batch, and 24 % apart in m). Post-hoc decomposition: count +0.049, partition +0.517 (quoted, 105.3). K1: chunk1 − tw0 weightwise = −0.255, se 0.146, t −1.74, inside ±0.50.",Verdict: K1 REPRODUCES + K2 REFUTES Mixed: K1 REPRODUCES; K2 REFUTES its own registered prediction that the partition does not matter at fixed m. Judgement call: the row's question was answered yes.,"ck1, 15 runs (chunk K ∈ {1, 2, 16, 128, 1024} × 3 seeds), R18/C10, SGDm+Lion, ms 1e-4, 100 ep, read against tw0 (CROSS-batch). K2 refuted its own registered prediction that the partition does not matter at fixed m, which made the axis (count, partition) and opened this audit. It had been registered as the more interesting outcome, with a symmetric ±0.50 bar. Not yet an alignment claim: at matched m the two partitions still differ in size distribution (105.3). mm1 re-measured it at matched count.","[""ck1""]","[{""path"": ""docs/MASTER-TABLE.md"", ""line"": 178}, ""CORRECTIONS 104.8–104.9, 105.2–105.3, 105.6"", ""FINDINGS 74.9, 75.0–75.2"", ""`analysis/c75_ck1_score.py`, `analysis/c76_partition_vs_count.py`""]","At (nearly) fixed group count, does the PARTITION matter — is granularity one variable (m) or two (count, partition)?",,mixed,178
MT179,research,success,Goal met,,,10,Count-matched partition audit,"Is there structure in the three-decade hole between nodewise (m 14,420) and weightwise (m 11,173,962)?","chunk K ∈ {1, 2, 16, 128, 1024} (m 11,173,962 → 10,944), one batch",Count-matched partition audit (MASTER-TABLE section 10): does the partition matter once the group count is held fixed?,"plateau5 90.979 → 91.095 → 91.411 → 92.159 → 92.526: every adjacent step positive, about 0.51 pp per decade, no knee (slope quoted, 105.4). The chunk1 → chunk2 step — 100 % → 0 % singleton groups — is +0.115, se 0.133, t 0.87.",Verdict: K3 CONFIRMS Goal met: K3 CONFIRMS a monotone fine-end slope with no knee.,"ck1, 15 runs (as above). The fine end slopes; it does not turn anywhere — a negative about shape. Two later uses: its count slope was DELETED as an import (117.10: four of the seven ck1+cx2 rungs have K ≤ 512 and split the 1-D tensors), and its chunk1 → chunk2 step is the datum that refuted the size-1 carrier (119.0 K4, row below).","[""ck1""]","[{""path"": ""docs/MASTER-TABLE.md"", ""line"": 179}, ""CORRECTIONS 105.4, 117.10, 119.0"", ""FINDINGS 75.3""]","Is there structure in the three-decade hole between nodewise (m 14,420) and weightwise (m 11,173,962)?",,met,179
